
Analog value: 56909, Digital value: 1.
Analog value: 57149, Digital value: 1.
Analog value: 57165, Digital value: 1.
Analog value: 57197, Digital value: 1.
Analog value: 57245, Digital value: 1.
Analog value: 57181, Digital value: 1.
Analog value: 57245, Digital value: 1.
Analog value: 57165, Digital value: 1.
Analog value: 57149, Digital value: 1.
Analog value: 57181, Digital value: 1.
Analog value: 57245, Digital value: 1.
Analog value: 54829, Digital value: 1.
Analog value: 50076, Digital value: 1.
Analog value: 48987, Digital value: 1.
Analog value: 56941, Digital value: 1.
Analog value: 53549, Digital value: 1.
Analog value: 54317, Digital value: 1.
Analog value: 53405, Digital value: 1.

Analog value: 26934, Digital value: 1.
Analog value: 28598, Digital value: 1.
Analog value: 28582, Digital value: 1.
Analog value: 27878, Digital value: 1.
Analog value: 27046, Digital value: 1.
Analog value: 28406, Digital value: 1.
Analog value: 27350, Digital value: 1.
Analog value: 24565, Digital value: 1.
Analog value: 19252, Digital value: 1.
Analog value: 21717, Digital value: 1.
Analog value: 23253, Digital value: 1.
Analog value: 22261, Digital value: 1.
Analog value: 21589, Digital value: 1.
Analog value: 25206, Digital value: 1.
Analog value: 27302, Digital value: 1.
Analog value: 29031, Digital value: 1.
Analog value: 27686, Digital value: 1.
Analog value: 27862, Digital value: 1.
Analog value: 26790, Digital value: 1.
Analog value: 26262, Digital value: 1.
Analog value: 26582, Digital value: 1.
Analog value: 29975, Digital value: 1.
Analog value: 30567, Digital value: 1.
Analog value: 22069, Digital value: 1.
Analog value: 24886, Digital value: 1.
Analog value: 21973, Digital value: 1.
Analog value: 21621, Digital value: 1.
Analog value: 20805, Digital value: 1.
Analog value: 20677, Digital value: 1.
Analog value: 20549, Digital value: 1.
Analog value: 20372, Digital value: 1.
Analog value: 21733, Digital value: 1.
Analog value: 22101, Digital value: 1.

Analog value: 22613, Digital value: 1.
Analog value: 23349, Digital value: 1.
Analog value: 22693, Digital value: 1.
Analog value: 22677, Digital value: 1.
Analog value: 22549, Digital value: 1.
Analog value: 22357, Digital value: 1.
Analog value: 22373, Digital value: 1.
Analog value: 22373, Digital value: 1.
Analog value: 22581, Digital value: 1.
Analog value: 22677, Digital value: 1.
Analog value: 26470, Digital value: 1.
Analog value: 26838, Digital value: 1.
Analog value: 27254, Digital value: 1.
Analog value: 27254, Digital value: 1.
Analog value: 27430, Digital value: 1.
Analog value: 27334, Digital value: 1.
Analog value: 27366, Digital value: 1.
Analog value: 27238, Digital value: 1.
Analog value: 27254, Digital value: 1.
Analog value: 27814, Digital value: 1.
Analog value: 28566, Digital value: 1.
Analog value: 29463, Digital value: 1.
Analog value: 29319, Digital value: 1.
Analog value: 24822, Digital value: 1.
Analog value: 36856, Digital value: 1.
Analog value: 51868, Digital value: 1.
Analog value: 52396, Digital value: 1.
Analog value: 53357, Digital value: 1.
Analog value: 54141, Digital value: 1.
Analog value: 54365, Digital value: 1.
Analog value: 54589, Digital value: 1.
Analog value: 54333, Digital value: 1.
Analog value: 53869, Digital value: 1.
Analog value: 54381, Digital value: 1.

Analog value: 40665, Digital value: 1.
Analog value: 46555, Digital value: 1.
Analog value: 47387, Digital value: 1.
Analog value: 53325, Digital value: 1.
Analog value: 53485, Digital value: 1.
Analog value: 53565, Digital value: 1.
Analog value: 53180, Digital value: 1.
Analog value: 53389, Digital value: 1.
Analog value: 53309, Digital value: 1.
Analog value: 52732, Digital value: 1.
Analog value: 52668, Digital value: 1.
Analog value: 52828, Digital value: 1.
Analog value: 52844, Digital value: 1.

